@relation 'AT: poker-hand-training-true-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R11-weka.filters.unsupervised.attribute.Standardize_principal components'

@attribute -0.577attribute_4-0.511attribute_5+0.393attribute_2+0.264attribute_3+0.263attribute_8... numeric
@attribute -0.678attribute_0+0.441attribute_8-0.34attribute_3+0.277attribute_1+0.253attribute_5... numeric
@attribute 0.562attribute_6+0.515attribute_1-0.441attribute_7-0.327attribute_5-0.289attribute_2... numeric
@attribute '0.677attribute_9-0.432attribute_3-0.313attribute_4+0.31 attribute_2+0.301attribute_6...' numeric
@attribute 0.581attribute_8-0.413attribute_7-0.352attribute_2-0.348attribute_4-0.311attribute_1... numeric
@attribute '0.608attribute_7-0.446attribute_2-0.371attribute_3+0.368attribute_6+0.23 attribute_8...' numeric
@attribute 0.516attribute_6-0.473attribute_1+0.432attribute_3-0.333attribute_0-0.281attribute_9... numeric
@attribute '0.493attribute_9-0.442attribute_5-0.404attribute_0+0.39 attribute_4+0.258attribute_8...' numeric
@attribute -0.506attribute_5-0.447attribute_1-0.434attribute_3-0.377attribute_7-0.355attribute_9... numeric
@attribute -0.484attribute_4-0.445attribute_2-0.441attribute_8-0.414attribute_0-0.35attribute_6... numeric
@attribute attribute_10 {0,1,2,3,4,5,6,7,8,9}

@data
-1.119841,-0.368836,-0.030978,0.598053,-1.202537,-0.833647,1.998159,0.107592,0.9712,-1.305549,1
-0.536361,0.368607,0.468985,-0.315682,-0.632537,-0.479216,-2.418536,-1.016132,0.696105,0.34951,0
1.000457,-1.783566,-0.018328,0.056164,-1.328838,-1.444583,-0.130035,-0.034753,-1.336668,-0.329303,1
-0.796056,0.219579,-1.054392,-1.594282,1.16633,-0.395178,0.613231,1.184141,0.575835,1.134262,0
-0.417753,1.583019,-1.549515,0.386312,1.110854,0.472184,0.041405,-0.716138,1.145946,-0.497359,0
-0.594164,1.130398,0.506727,1.365015,-3.170507,0.486134,0.365255,0.774804,-0.069551,-0.407308,0
2.227234,-1.196297,0.628761,0.273073,0.584729,0.251783,-0.348592,1.272062,-1.254648,-1.059329,1
0.351887,-1.253319,0.317947,2.829098,0.495881,0.792657,0.201376,-0.545101,1.48428,-0.791895,1
-0.240627,2.261859,-0.972291,1.493311,0.855391,-0.259552,0.583676,0.063691,-0.594139,-0.354274,0
1.507255,1.186607,1.164064,0.620376,0.013803,-0.066065,0.29842,0.420706,0.341908,0.603729,0
-0.956657,-0.853337,-1.078271,-0.557341,-0.925685,0.845813,0.569673,-0.824278,0.895426,-1.704944,0
0.828302,-1.598726,-0.485915,-1.678749,-0.250997,1.032147,-0.784279,-0.374247,0.250698,0.903548,0
1.450915,-0.077194,0.809935,-0.979655,-0.459101,-1.219172,1.749944,-0.494001,0.661161,-0.521446,0
-0.40252,0.5172,0.319742,-1.70859,-0.010338,0.637661,-1.955609,-0.986232,0.293079,-1.651218,0
-0.991545,-0.784345,-0.233566,0.883028,-0.065898,-1.467655,1.293458,0.589008,-1.651269,0.663612,1
0.381674,-0.184536,-0.85033,1.323683,0.02067,0.661212,-1.512619,-0.488357,-0.461331,-0.370188,1
-0.054044,0.762238,0.442861,-1.99515,1.036087,-0.117789,0.761336,0.067274,0.028288,1.307218,0
0.255089,1.41978,-0.994023,-0.990157,1.521643,-0.851949,1.346717,0.175016,-0.90714,0.339448,2
1.082892,-1.357976,0.811651,-0.14476,-0.655102,-1.043491,0.286044,-0.351046,0.626399,-1.716596,0
-1.785136,0.208486,1.239879,1.11938,-0.445107,-0.474943,-1.967488,-0.140529,-0.890878,-0.324397,1
1.312454,0.361879,-0.443126,0.480712,-0.072741,-0.863579,0.186952,0.56469,1.36323,1.468672,0
0.205397,1.688628,-0.925949,2.460647,0.325767,0.864519,1.098244,1.330982,-0.300705,-0.688979,0
-0.973604,-0.395885,0.227542,0.035844,-0.360281,2.090463,0.676043,2.077867,1.267082,-0.823662,1
-1.465229,2.178276,-1.203305,1.680045,0.62395,-1.344942,-0.761829,0.960563,0.159579,-1.077828,0
-0.874862,2.359463,0.835379,0.05373,-1.179217,-0.154486,0.449992,-0.44667,0.934345,-1.698644,0
0.573409,-0.950953,-1.302299,1.734158,0.436517,-0.101501,-1.252959,-0.930203,1.33989,0.323062,0
0.659215,1.047973,-0.043706,0.895501,-0.983896,-0.478956,-1.077712,0.516594,0.744191,-0.800424,1
-1.635743,-0.562286,-0.84745,-0.6224,0.364591,1.552742,0.321478,0.681263,0.511788,-0.723311,1
0.155391,-0.736132,-0.488218,0.80041,-1.103205,-0.017569,0.407922,-1.891869,-0.225595,-0.492179,1
0.114659,-0.522034,1.704088,-2.705,0.442535,0.647711,-0.959805,-0.08,-0.429385,-1.496764,0
1.593399,-1.616271,2.200663,1.849911,-0.923003,0.024093,-0.459507,-0.385568,-0.784073,0.188369,1
0.263935,0.030557,1.229772,0.611773,0.002349,-0.321959,-0.7627,0.012412,0.662823,-3.300777,5
1.106907,0.701425,-1.259317,-0.79497,-0.345306,0.702462,1.621993,0.894759,-0.124429,-1.411549,1
0.573248,0.527738,1.471613,-1.699304,0.892985,0.100127,1.972409,1.355282,1.193079,-1.05527,2
1.459935,-0.647763,-2.301461,0.449849,0.060255,-0.344343,0.309323,0.857666,-0.365243,-0.109225,1
0.639186,1.043006,0.832058,0.643255,0.505741,0.311684,0.836388,-0.75174,-1.6106,0.357949,2
-0.552449,-0.992055,-0.579305,1.082562,-0.170795,0.082357,-0.904812,1.056501,0.916205,2.104356,1
1.83329,0.625057,1.260485,-1.669492,1.149181,0.082585,-1.414809,0.155144,0.727517,1.125882,1
0.610801,-0.495792,-1.125495,0.652883,2.210539,0.341799,0.836268,-0.816834,-0.914339,-0.731698,0
-0.523319,-0.317762,0.793031,-1.362323,1.630043,-0.984569,-0.393428,1.963888,0.055972,-0.413943,0
-0.868603,2.239876,-0.44653,0.51582,-1.247884,-0.316834,-0.139241,0.436643,-1.98856,-0.423603,0
-1.770839,0.507928,-0.588442,-0.055783,-1.154226,0.918695,0.553109,-1.044613,-0.338826,0.805279,0
0.554769,-0.110047,1.28848,-0.943828,-0.164748,-0.136547,0.671985,-0.176779,-0.058129,0.592328,0
-0.063534,1.640777,1.480598,1.367846,0.594403,-1.166876,-0.50393,0.127626,-1.092427,-1.528533,1
-1.435605,0.368683,0.842607,-0.804954,0.35084,-0.368808,1.274327,-0.833934,-0.361245,1.922827,0
-1.354739,1.061245,0.580331,1.04299,2.343359,0.163015,-0.838021,0.061863,-0.427539,0.398938,0
1.004601,-0.195084,0.290129,0.319979,-1.430934,0.171018,1.151495,2.390709,-1.195389,-1.451257,0
-0.154215,1.312011,-0.722986,-1.446727,-2.162385,-0.045056,-0.499274,0.330939,1.276516,0.167089,0
-0.037179,-0.003515,-1.120554,-1.712837,1.115342,-1.715828,1.021683,-0.08889,1.280346,-0.428638,1
0.300729,0.555624,1.568522,0.411761,-0.287458,-0.759684,1.877009,-0.95214,-0.065058,1.093121,0
-0.274854,-0.040046,0.381264,-0.162708,1.555733,-0.352841,1.132893,-0.045392,1.638568,-0.304307,1
1.390784,-0.533357,0.69584,-0.670573,-0.231485,1.128932,0.164629,0.557837,-1.844476,-1.713512,1
0.412274,-0.72985,-1.36401,0.50937,0.588635,-1.279204,0.664335,0.884637,-0.692601,-0.909777,0
0.387483,-0.941742,0.744762,-0.722178,-0.958719,0.328409,0.517348,-0.619251,-1.57308,1.080483,1
0.240361,-0.874163,0.641247,0.462759,0.244835,1.977085,0.784967,-0.155455,-0.780839,1.048421,2
-0.711786,1.235298,-0.626266,-1.048342,-2.350904,-0.917981,0.762395,-0.577796,0.194742,0.047111,3
-1.762337,-1.163574,1.713285,0.391805,-0.747614,0.257634,-0.373728,0.478315,-0.813769,0.091729,1
-1.829484,0.559203,0.876582,0.465732,-0.208757,1.188464,-0.083496,-0.140792,-1.125251,0.673184,1
0.635917,0.838485,0.55764,-1.21907,-1.17981,1.052067,-0.999626,0.285232,1.186669,-0.133542,0
-0.744441,1.398578,1.217641,1.464065,-0.108874,1.581176,-0.158951,-0.187468,-1.568171,2.172631,1
-0.375376,0.536661,0.40095,-0.011485,0.303858,2.26306,0.148479,1.546081,-0.76746,-0.22712,1
-0.908414,1.063954,0.067344,2.407504,1.977579,-0.10028,0.406638,0.182306,0.692029,-1.081682,1
-0.918681,0.527382,-1.198644,-0.935305,0.416974,1.187583,0.932182,1.236877,-0.306892,-0.939327,0
-0.57292,-1.713923,0.088017,-1.378568,-1.543779,0.602824,0.367656,-0.27309,-1.160877,-0.334223,0
0.426456,1.343924,0.078706,0.207984,1.524071,-1.323299,0.161489,0.702219,0.233143,0.060041,1
-1.394012,1.852647,-0.561984,-0.342475,-1.311083,-0.613231,0.996343,-0.749159,0.107246,-0.695526,1
-1.663061,-0.379728,-0.333905,0.890739,-1.032778,1.186612,-1.547713,-0.320395,-1.320279,-0.52136,3
-1.859757,0.524725,0.639598,0.328901,-0.663533,2.004923,-0.733063,-1.063207,-1.317106,0.3525,0
0.667632,-1.092836,0.183816,0.4588,0.698013,0.477083,0.988295,-0.206243,-0.957498,-1.110463,1
-0.078649,-0.37563,-1.847724,-1.729833,0.492855,0.348235,-0.299691,1.301333,-0.667068,-0.565182,0
0.766054,-1.760531,-1.159209,0.645979,-0.076431,0.935326,0.626462,1.503774,-0.509877,-1.204048,0
-1.981928,0.181451,-1.883486,1.159568,0.193473,-1.500474,-0.649041,0.644145,-0.008973,0.159967,1
-0.68051,-0.117482,-0.688895,1.335104,0.397026,0.089531,1.85982,0.249161,-0.577967,2.174121,0
-2.606015,0.784714,-0.249043,1.410546,-0.091518,-0.354288,0.507447,-0.332034,0.750394,0.914923,0
-1.460435,-1.059271,-0.505478,-0.080558,0.178937,-0.367013,0.571558,0.837977,-2.338206,0.016133,1
-0.438141,-0.700044,-0.504502,-0.932349,-0.908797,-2.748162,-0.168153,-0.686981,-0.640677,-0.293578,0
-0.604833,-0.614102,-0.24984,0.12196,-1.468829,0.849703,-0.641671,-0.457892,0.420854,-1.511632,1
-1.416518,-1.600481,-1.956652,0.037389,-0.324034,0.609592,0.393294,-0.745602,-0.726502,0.445002,1
-1.581968,0.055944,1.227709,0.522995,1.423092,0.279063,0.403463,0.530605,1.078938,-0.462121,0
0.510128,1.11586,0.049357,-1.541769,0.339819,1.831838,-0.648699,-0.041098,0.822554,0.405034,0
0.28516,-0.884891,-1.873293,0.99421,0.727121,-1.831871,0.399448,-0.062087,-0.088977,0.152138,1
1.055097,2.090676,0.757775,0.670615,0.901048,-0.70772,-0.321403,-1.34949,-0.908263,-0.351877,0
2.999447,-1.434241,-0.415143,-1.704197,-1.067672,0.411205,-0.132826,-0.630949,-0.366092,0.644155,1
0.639976,0.845736,0.839832,0.332197,-0.056619,0.337714,-1.989518,1.607094,-0.01925,-0.155705,1
-0.94059,1.93321,-2.196195,-0.54019,-1.105456,0.279379,0.917678,0.017074,0.976054,-0.91672,1
-0.911562,1.47901,0.165497,1.894216,2.03969,1.582452,0.433018,0.724482,-0.46685,1.018828,0
1.519672,-1.455962,-0.512231,0.224081,-1.024745,-1.429558,-1.231362,0.70122,-1.511154,-0.283083,0
-0.799005,0.580904,-1.500396,-1.059225,-1.15856,-0.692757,-0.390933,0.128224,-1.672871,0.565236,0
1.455353,-0.305914,0.800627,-0.492241,-1.354286,0.834067,0.251185,-0.490623,-0.525754,-2.090509,0
-0.970495,1.210727,-0.810485,0.054942,-1.080624,-1.740897,-1.225449,-0.631841,0.010951,-0.33889,0
-0.774616,-1.36712,1.308451,-1.631668,-0.928607,-0.492388,-0.713328,0.137086,0.697549,0.273049,1
-0.088113,-0.671675,0.562091,0.17195,-0.841185,-1.376743,-1.200353,0.937687,-1.368211,-0.314295,1
-0.489121,1.987452,0.182275,-0.210126,-1.137874,1.051764,1.361004,-1.315451,-1.076808,0.63202,0
-0.777417,-0.052407,-1.112046,1.198754,-1.300825,-0.679499,-0.346882,-1.042614,0.175373,-0.219709,0
-0.405934,0.586595,-0.381767,-0.343798,-0.519152,0.325633,-1.177138,-3.07949,-0.159368,-0.177008,1
0.347893,0.31228,-0.004692,0.566402,-2.780925,0.793478,-0.928845,0.328007,-0.520107,-1.181924,0
1.297894,-0.900155,0.056864,-0.226704,-0.187291,0.931686,-1.292961,0.284275,-1.46438,0.257371,1
-1.204483,-0.047418,0.705041,1.684263,-0.398061,0.630491,0.615521,-0.43449,0.616073,0.642295,0
-0.678819,-0.949725,0.175829,0.189497,-1.407085,-0.53903,1.673737,-0.336859,1.159002,-1.79131,0
0.430974,-0.654858,-1.182746,0.900544,1.259251,-0.953739,-0.377553,0.373137,0.527957,-2.069891,0
-1.131072,-0.523314,0.581117,-1.555871,-0.445566,0.121843,-0.954694,-0.111872,0.097821,0.067499,1
-1.715921,1.390906,-0.327349,-0.327015,-1.422323,-1.706317,-0.953107,-0.639845,0.17505,0.854093,0
-0.024293,1.750302,-1.583505,-0.13522,0.731153,0.396617,1.32382,-1.144575,1.056474,0.761722,0
1.071728,-1.150774,-0.263741,-0.181669,-1.387921,0.344633,0.55376,-0.344038,0.797274,-1.665353,0
0.715649,2.019173,0.000682,0.927038,-0.026195,0.075022,-0.590369,-0.322859,-1.746437,-0.448792,0
-1.177278,0.284727,-1.078846,-0.795261,-0.563214,0.911986,-0.299421,-1.32865,0.012918,0.203306,0
-0.591183,0.590078,0.223061,-1.701681,-1.342487,0.03511,-1.161187,1.362397,-0.552733,1.511488,0
-1.655651,0.546338,1.270517,-0.844844,-0.085545,0.752277,-0.932281,-1.967024,-0.178712,-1.838466,0
-0.831291,2.566772,-0.463924,-2.156669,-0.661929,0.940029,-0.588416,-0.017101,-0.976714,-0.005306,1
0.754361,-0.230084,1.558998,-1.390193,1.083665,1.622135,0.588943,0.035831,0.802392,-0.83302,0
0.47725,-1.675501,-1.279094,-0.286939,-1.998497,-1.072587,-0.642087,0.328618,-0.856885,-0.480415,0
-0.973889,1.911724,-0.878108,-0.397177,-0.376804,-1.41942,0.259103,0.013801,-0.692284,-0.546934,1
-0.698688,-1.277349,-1.599948,0.914115,-0.091744,0.256038,-1.595123,0.333876,-0.486665,0.396696,0
-1.382363,-0.324164,-1.537585,0.455924,1.357274,-0.173408,-2.10763,0.400747,0.395888,-1.202088,0
0.10807,-0.285747,1.342384,-1.375175,0.987924,0.599348,0.038833,-0.787256,0.951847,-0.125516,1
-0.112363,0.385785,0.284028,0.32128,1.367554,0.475376,0.026037,-1.552181,0.110636,0.226278,1
-0.675626,-0.387314,0.751564,0.736919,-0.006933,1.532891,1.271725,-0.73242,0.965942,1.37413,1
-0.360543,0.227614,-0.101856,-0.264676,-0.382286,-1.288619,0.510111,-1.263218,-1.037789,1.247425,2
0.446734,-1.064845,-0.405829,0.155867,0.766111,-1.625945,-1.531538,0.384296,-1.202699,-0.41867,0
0.532424,-2.386622,-0.288495,-1.053546,-0.750052,-0.647318,-0.517619,0.288593,0.022498,0.483324,1
-0.511075,0.702308,-0.44847,0.608077,-0.456262,1.588731,-0.877229,2.139841,0.941535,0.934243,0
-1.710347,1.571616,-1.609251,-1.73109,0.486435,1.404316,0.389718,0.904471,-0.362991,0.279367,1
0.470707,-2.39721,0.238908,-1.019109,-0.052437,0.158677,1.530632,-0.713886,0.552979,-0.006342,0
1.435674,1.245729,-0.767818,-0.364324,1.612301,-1.723309,0.060096,-0.876954,0.107599,0.011822,1
-0.14734,0.680095,0.457764,0.746424,0.193361,0.604949,0.068404,-1.037139,-0.126711,1.193999,1
-1.274658,-1.354953,-0.745664,0.493849,-0.085596,-2.370325,-0.547292,0.338595,0.613942,-0.127847,1
0.819427,-1.489205,-0.492628,-0.63751,-1.878123,0.091148,1.147139,-0.736282,-0.654947,-0.86848,0
1.253998,1.214253,-1.004207,0.213938,0.245495,0.370141,1.801222,1.104479,0.810123,-0.792891,0
1.125371,0.654239,0.486494,1.960214,-1.918117,0.253295,-0.239647,-0.726715,-0.238788,0.901229,1
0.109271,-0.484894,-1.670651,-0.531911,0.872507,-1.39589,-0.66352,0.132795,0.640147,-2.248442,0
0.075738,0.459758,-1.433083,-0.033195,2.234113,0.559182,-0.418931,0.484906,-0.507078,1.610912,0
-1.018869,0.822431,-0.335432,-0.334124,2.038638,1.016459,0.536434,-0.169913,0.215733,0.179913,1
-1.286551,-0.293722,-2.095483,-0.568538,0.972713,-1.3406,0.020921,0.084873,-0.138759,-0.76404,0
0.27713,2.005581,-0.295753,1.124608,1.110407,0.435989,1.100342,-1.467203,-0.39379,-0.800437,1
1.096276,-1.043003,-1.845257,0.53344,0.771803,-1.065898,-0.23896,-0.083412,-0.405067,-0.579004,1
1.902485,-0.990209,0.459347,-0.092626,-0.579967,0.788186,-0.40733,0.328712,-0.087731,1.132777,0
-0.390397,-0.512432,-0.425855,-0.359066,-0.410928,-0.143669,-0.623811,-1.557373,1.175823,-1.019675,0
-0.958103,-0.323013,-0.27159,0.860589,0.471074,0.738933,2.302238,-1.138147,0.22057,1.120215,0
-0.733556,-1.133961,-0.329203,-2.28651,1.802503,-0.774894,-0.543308,-1.057329,0.606837,-0.238875,1
0.31143,-0.791578,-2.083807,-0.960883,0.336009,-0.32907,1.173997,-0.790785,-0.228595,-1.507651,0
-0.700622,-0.364755,0.325598,-0.035562,-0.158174,-0.62808,-0.575624,-1.508034,-0.741686,1.20882,1
-1.155314,0.458293,-1.691492,1.504324,0.487347,0.500093,0.897298,0.818575,-1.545614,-2.124823,0
-0.947227,-0.260579,0.291216,1.356307,-1.301712,1.091668,1.384042,1.493179,1.473014,0.420632,0
-0.584179,1.402771,0.448742,1.656692,-1.259138,-0.790667,-1.128554,-0.475224,-0.369,1.656906,0
-0.335122,1.573086,-0.575932,-0.062456,-0.82757,0.502325,-0.944898,-0.496441,0.08939,-0.199059,1
-0.969791,1.075547,-0.040363,-0.199347,-0.138084,0.373445,-1.974971,-1.063297,-0.175533,1.928211,1
-2.171957,-0.607656,0.573166,-1.023424,0.272597,0.683256,0.891633,-0.481893,-0.203641,-0.588662,0
0.917766,0.288523,1.56583,1.019987,0.297398,1.55685,-0.962196,0.698712,0.235636,-0.913094,1
0.809238,-0.819587,0.98686,-0.165463,2.144663,-1.205368,-1.348256,0.091324,-1.384742,-0.356719,0
-0.959509,0.223622,0.863483,0.779753,0.125436,1.723718,-0.099794,1.125746,0.793368,-0.244143,0
0.783642,1.178118,1.192651,0.600426,-1.053403,-0.684606,-0.925337,0.234486,1.091822,0.751334,0
-0.874346,-1.757695,0.153428,0.89442,0.646655,-0.547191,0.263014,-0.935787,-1.192147,0.57063,0
-1.022256,-1.007365,-2.488843,-2.016902,-0.31721,0.236912,0.854316,0.180795,-0.258098,0.131811,1
-0.83357,-0.519305,-0.12252,-0.283103,-0.445579,-0.451326,-0.092926,1.294194,0.909905,-0.107317,1
-0.536767,1.414555,0.152797,1.758281,0.435921,-1.296576,-0.214591,1.915905,1.161636,-1.755854,1
-0.633499,-0.161665,-1.173339,-0.231371,-0.103104,2.288001,-1.280939,1.76484,0.903255,-0.76543,1
-1.469256,-1.043695,1.771488,0.826691,0.733922,0.537929,-1.365854,0.560427,0.581698,-1.54637,0
-1.397923,-1.383015,-0.09035,2.04948,0.329616,0.926438,-0.073418,0.229036,-0.082216,-0.813182,0
0.182986,-2.183268,0.999231,2.013902,-0.646467,0.997138,-0.04395,0.493938,0.32979,-0.070179,1
-0.843065,-1.629201,0.313234,-0.832647,-0.308911,-2.166748,-0.181498,-0.799318,-0.989762,-0.566422,0
-0.623454,-0.773496,2.875479,0.355919,-1.214373,-1.004082,-0.206514,1.166499,0.001045,-0.213533,0
0.241487,1.53864,-0.773092,0.066501,0.513365,-1.125646,-0.985043,1.518428,-1.393699,0.528978,1
1.309485,-0.354451,-0.729797,1.012459,0.008151,1.57305,1.279508,-1.292906,0.734461,-1.474662,0
-0.606312,1.082001,0.149516,1.192441,0.792126,-1.282957,1.255384,1.997791,-0.655176,-1.673332,0
-1.591335,0.726238,0.360347,-1.096357,-1.241122,0.867918,-0.740141,-1.496453,-0.271044,-0.557514,0
-0.451838,0.893935,0.070978,0.950355,-0.778255,1.047599,0.753287,-0.838807,1.077247,1.745198,0
-0.849517,-0.530639,-1.195318,0.083888,-0.181023,0.870758,1.484612,0.997784,-0.444204,0.417985,1
-1.075679,-0.759345,1.250653,-0.899258,1.237054,0.512242,0.026559,-0.829105,-1.640206,-0.6054,0
0.833102,-1.22027,0.566913,0.281799,0.256138,1.192484,0.136656,0.56243,-1.910929,1.716811,1
0.052949,-0.527884,0.547146,-1.528668,-1.869035,1.261315,-0.076531,0.34483,0.110062,-0.654574,1
1.819069,0.616942,-0.083028,0.433818,-0.091713,0.062231,1.095402,-0.14547,-0.147608,-0.100562,1
-0.31644,1.080215,1.129862,0.491708,1.401683,0.761774,0.321348,-0.28113,1.850439,-1.065703,1
-1.867013,-0.026054,-1.846681,0.393021,0.005273,1.589869,0.253889,0.489717,-0.465764,-0.781104,0
1.031607,0.873242,1.352955,-0.598321,0.402917,-1.391492,-1.283381,0.815754,0.978117,1.038871,1
0.651747,1.906072,-1.074465,-0.020388,-0.826605,0.373867,-0.799852,0.214569,-1.602115,-0.545533,0
-1.276353,0.569379,-1.142216,-1.940076,1.008516,1.096216,1.907957,1.816669,-0.805167,-0.033572,1
0.071042,-2.586497,-0.355498,-0.010918,1.323055,-0.020596,0.203849,0.736867,-0.290572,0.681274,0
-1.763267,0.051519,-0.286739,-1.368297,-1.054111,1.898922,-0.188647,-0.702744,-0.094753,-0.141284,0
