@relation 'spambase-weka.filters.unsupervised.attribute.Remove-V-R52-53,56,7,21,55,16,24,57,25,23,27,5,19,26,3,11,17,2,8,6,20,10,9,18,12,54,30,58_clustered'

@attribute Instance_number numeric
@attribute attribute_51 numeric
@attribute attribute_52 numeric
@attribute attribute_55 numeric
@attribute attribute_6 numeric
@attribute attribute_20 numeric
@attribute attribute_54 numeric
@attribute attribute_15 numeric
@attribute attribute_23 numeric
@attribute attribute_56 numeric
@attribute attribute_24 numeric
@attribute attribute_22 numeric
@attribute attribute_26 numeric
@attribute attribute_4 numeric
@attribute attribute_18 numeric
@attribute attribute_25 numeric
@attribute attribute_2 numeric
@attribute attribute_10 numeric
@attribute attribute_16 numeric
@attribute attribute_1 numeric
@attribute attribute_7 numeric
@attribute attribute_5 numeric
@attribute attribute_19 numeric
@attribute attribute_9 numeric
@attribute attribute_8 numeric
@attribute attribute_17 numeric
@attribute attribute_11 numeric
@attribute attribute_53 numeric
@attribute attribute_29 numeric
@attribute attribute_57 {0,1}
@attribute Cluster {cluster0,cluster1}

@data
54,0.5,0.333,30,0.73,2.2,3.259,1.1,0,176,0,1.83,0,0,2.2,0,0.73,0,0.36,0.36,1.1,0.73,2.2,0.36,0.36,0.36,0.36,0,0,1,cluster0
55,1.478,0,30,0,2.17,2,1.08,0,106,0,0,0,0,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,cluster1
56,0.615,0.061,59,1.04,2.09,3.318,0,0,146,0,0,0,0,3.66,0,0,0,1.04,0,0,0,0,0,0,0,1.04,0.061,0,1,cluster0
57,0,0,8,0,5.06,3.642,0,0,51,0,0,0,0,2.53,0,1.26,0,0,0,0,0,0,0,0,0,2.53,0,0,1,cluster0
58,1.501,0,61,0,1.36,2.777,0.45,0,200,0,0,0,0.45,1.36,0,0.45,0,0,0.45,0,0,0,0,0,0.91,0.45,0,0,1,cluster0
59,0.669,0,121,0,1.68,3.837,0.42,0,284,0,0,0,0.42,2.1,0,1.68,0,0,0.42,0,0,0,0,0,0.84,0.42,0,0,1,cluster0
60,0,0,66,0.59,0,8.586,0,0,249,0,0,0,0,1.77,0,0,0,0,0.59,0,0,0,0.59,0,1.18,0.59,0,0,1,cluster1
61,0.175,0,11,0,1.89,1.294,0.23,0.23,66,0,0,0,0.23,7.1,0,0.47,0,0.23,0,0,0,0,0,0,0,0,0,0,1,cluster0
62,0,0,8,0.93,0.46,1.442,1.39,0,75,0,0,0,1.39,0.93,0,0.46,0.46,0,0,0.93,0,0,0,0,0.46,0.93,0.069,0,1,cluster0
63,0.048,0.048,15,0.68,2.73,1.411,0.34,0,96,0.34,0,0,0.68,3.42,0.34,0,0.34,0,0.34,0,0,0,0.34,0,1.36,0,0,0,1,cluster0
64,0.019,0.019,34,0,3.01,1.714,0,0,180,0,0.12,0,1.32,4.1,0,0.12,0.36,0,0.24,0.36,0.36,0,0,0,0,0.72,0,0,1,cluster0
65,2.205,0,34,0,1.32,3.184,1.98,0,121,0,0,0,0,1.32,0,0.66,0,1.32,0,0,0,0,0.66,0,0,0,0,0,1,cluster0
66,0.589,0.294,47,0.48,1.95,4.85,0.48,0.48,194,0,0,0,1.46,0.97,0,0.48,0.48,0,0.48,0,0,0.48,0.97,0,0,0,0,0,1,cluster0
67,0.5,0,3,1.47,1.47,1.214,0,0,17,0,0,0,0,5.88,0,0,0,0,0,0,0,0,1.47,0,0,1.47,0,0,1,cluster0
68,1.053,0.351,66,0,1.23,3.884,2.15,0.3,303,0,0,0,0,5.53,0,0.61,0.3,0.61,0,0,0,0,0.92,0,0,0.92,0.25,0,1,cluster0
69,0,0.1,59,0,0,4.548,0,0,141,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,cluster1
70,0.537,0,287,2.53,3.79,72.5,0,0,290,0,0,0,1.26,2.53,0,0,1.26,5.06,0,1.26,0,1.26,1.26,1.26,0,1.26,0,0,1,cluster0
71,0.877,0,61,0,1.06,3.4,0.53,0,187,0,0,0,0.53,1.6,0,0.53,0,0,0.53,0,0,0,0,0,1.06,0.53,0,0,1,cluster0
72,0.807,0,121,0,1.34,3.849,0.44,0,281,0,0,0,0.44,2.24,0,0.89,0,0,0.44,0,0,0,0,0,0.89,0.44,0,0,1,cluster0
73,0.298,0.223,13,0.46,1.38,2.156,0.92,0,110,0,0.46,0,0.46,2.76,0,0.46,0.46,0,0.46,0,0.46,0,0,0,0.92,0.46,0,0,1,cluster0
74,0.486,0.243,78,0.48,2.41,5.13,0.48,0,236,0,0.48,0,1.44,2.41,0,0.48,0,0.96,0,0,0,0,0,0,0,0.96,0,0,1,cluster0
75,1.366,0,245,0,0.94,26.5,2.83,0,318,0,1.88,0,0,0.94,0,0.94,0,0,0.94,0,0,0,0.94,0,0,0,0,0,1,cluster0
76,0.165,0.082,16,0,1.18,2.325,0,0,100,0,0,0,0,4.14,0,1.77,0,0,0,0,0,0,0,0,0.59,0.59,0,0,1,cluster0
77,0.437,0.234,45,0,1.26,3.675,0.37,0.75,1066,0,0.44,0,0.18,2.96,0,0.37,0.25,0.44,0.18,0.25,0.12,0.69,0.31,0.75,0.12,1.51,0.064,0,1,cluster0
78,0.132,0,15,0.2,0.62,1.65,0.83,0,175,0,0.62,0,1.67,2.09,0,0.2,0.2,0.2,0.41,0,0.2,0,1.04,0,0,0,0,0,1,cluster0
79,0,0.338,5,0,0,1.666,0,0,10,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,1,cluster0
80,1.431,0,29,0,1.11,4.071,0,0,114,0,0,0,0,5.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,cluster0
81,0.197,0,280,0.23,1.9,5.038,0.23,0.47,519,0,0,0,0,2.38,0,0.23,0,0.95,0,0,0,0,0.95,0,0,0.47,0.024,0,1,cluster0
82,0.495,0,8,0,0,1.525,2.91,0,61,0,0.72,0,0,1.45,0,0.72,0.72,0,0.72,1.45,0,0,0,0,0.72,0,0,0,1,cluster0
83,0.724,0,9,0,1.28,3.071,1.28,0,43,0,1.28,0,1.28,2.56,0,1.28,0,0,0,0,1.28,0,0,0,0,0,0,0,1,cluster0
84,0.834,0,27,0,0,5.13,0,0,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,cluster1
85,0.571,0.214,64,0.46,1.4,4.63,1.86,0.46,213,0,0,0,1.4,0.93,0,0.46,0.46,0,0.46,1.86,0,0.46,0.93,0,0,0,0,0,1,cluster0
86,0.061,0.061,20,0,2.3,1.775,0.38,0.38,158,0,0,0,1.15,2.69,0,0.38,0,0,0,0,0.76,0,0,0,0.38,0.38,0,0,1,cluster0
87,0.268,0,26,0,1.58,2.815,0.79,0,107,0,0,0,0,3.96,0,0,0,1.58,0.79,0,0,0,0,0,1.58,0,0,0,1,cluster0
88,0.096,0.085,144,0,1.21,3.353,0.2,0.06,845,0,0,0,0.4,1.14,0,0.47,0,0,0.06,0,0,0.13,0.06,0.67,0,0.33,0.01,0,1,cluster1
89,0,0,23,0,0,3.8,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,cluster1
90,1.083,0.333,140,1.12,1.68,4.974,0.56,0,194,0,0,0,2.24,3.93,0,1.12,0,2.8,0.56,0,0,0,0,0,0,0.56,0,0,1,cluster0
91,0.322,0.764,193,0.05,1.5,6.1,0.26,0.34,3038,0,1.05,0,0.05,3.25,0,0.47,0.26,0.44,0.31,0.26,0.13,0,0.76,0.44,0,0.97,0.159,0,1,cluster0
92,0.613,0.532,763,0.03,1.53,7.3,0.22,0.63,2453,0,0.59,0,0.14,3.43,0,0.29,0.29,0.44,0.44,0.14,0.03,0,0.67,0.56,0.07,0.67,0.137,0,1,cluster0
93,0.612,0.531,763,0.03,1.53,7.3,0.22,0.63,2453,0,0.59,0,0.14,3.43,0,0.29,0.29,0.44,0.44,0.14,0.03,0,0.67,0.56,0.07,0.67,0.137,0,1,cluster0
94,0.082,0.823,12,0,2.31,3.4,0,0,102,0,1.38,0,0,2.77,0,0.46,0,0.46,0,0.46,0,0,0,0,0.46,1.38,0,0,1,cluster0
95,0,0,32,0.46,0,2.676,0,0,91,0,0.46,0,0,1.87,0,0.46,0.46,0,0,0,0,0,0,0,1.4,0,0,0,1,cluster1
96,1.284,0,61,0,1.4,3.639,1.05,0,313,0,0,0,0.35,2.11,0,0.7,0,0,0.35,0,0,0,0,0,0.7,0.7,0,0,1,cluster0
97,0.736,0,61,0,0.86,2.81,0.43,0,222,0,0,0,0.43,1.29,0,0.43,0,0,0.43,0,0,0,0,0,0.86,0.43,0,0,1,cluster1
98,0.31,0,17,0,0,4.897,0.6,0,191,0,0.6,0,0,1.21,0,0,0,0,0,0,0.6,0,1.21,0,0,0,0,0,1,cluster1
99,0.461,0.527,19,0,1.24,3.166,0.41,0.41,114,0,0,0,0,3.73,0,1.24,0,0,0.41,0,0,0,0,0,0.82,0.41,0,0,1,cluster0
100,0.38,0,3,0.7,1.41,1.153,2.83,0,30,0,0,0,4.25,4.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,cluster0
101,0.662,0,131,0,0,10.068,0.64,0,292,0,0.64,0,0,2.59,0,0.64,0,0,0,0,0.64,0,0,0,0,0,0,0,1,cluster1
102,1.529,0,22,0,0,5.5,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,cluster1
103,0.662,0,131,0,0,10.068,0.64,0,292,0,0.64,0,0,2.59,0,0.64,0,0,0,0,0.64,0,0,0,0,0,0,0,1,cluster1
104,1.529,0,22,0,0,5.5,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,cluster1
105,0.662,0,131,0,0,10.068,0.64,0,292,0,0.64,0,0,2.59,0,0.64,0,0,0,0,0.64,0,0,0,0,0,0,0,1,cluster1
106,1.529,0,22,0,0,5.5,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,cluster1
107,0.462,0,22,0,0,5.793,0.79,0,168,0,0.79,0,0,1.58,0,0,0,0,0,0,0.79,0,0,0,0,0,0,0,1,cluster1
108,1.529,0,22,0,0,5.5,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,cluster1
109,0,0,60,1.96,1.96,6.166,0,0,74,0,0,0,0,3.92,0,0,0,0,0,0,0,0,1.96,0,0,1.96,0,0,1,cluster0
110,1.907,0,7,2.46,0,1.285,2.46,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,cluster1
111,0,0,27,0,0,2.913,0,0,67,0,0,0,0,2.38,0,0,0,0,0,0,0.79,0,0,0,0,0,0,0,1,cluster1
112,0,0.177,79,0.76,0.76,3.836,0,0,211,0,0,0,0.38,1.52,0,0.76,0,0,0,0,0,0,0,0,0.76,0.38,0.059,0,1,cluster0
113,0,0,6,0,0.95,1.238,0,0,78,0,0,0,0.95,0.95,0,0,0,0,0,0,0,0,0,0,0.47,0,0,0,1,cluster1
114,0,0.119,38,0.12,1.38,4.155,0.25,0.12,507,0,1.13,0,0.88,2.9,0,0.63,0.5,0.12,1.76,0.5,0,0.25,3.9,0.25,0,0.88,0,0,1,cluster0
115,0.542,0,19,0,1.53,1.972,0.51,0,146,0,0,0,0.51,1.53,0,1.02,0,0,0,0,0,0,0,0,0,0,0,0,1,cluster0
116,0.054,0.118,96,0,0.75,2.37,0,0.2,588,0.05,0.15,0,0.1,1.55,0.05,0.4,0,0,0.3,0.05,0.05,0.3,0,0.1,0.5,0.3,0,0,1,cluster1
117,0.054,0.118,96,0,0.75,2.379,0,0.2,583,0.05,0.15,0,0.1,1.55,0.05,0.4,0,0,0.3,0.05,0.05,0.3,0,0.1,0.5,0.3,0,0,1,cluster1
118,0.542,0,304,2.56,5.12,102.666,0,0,308,0,0,0,1.28,2.56,0,0,1.28,5.12,0,1.28,0,1.28,1.28,1.28,0,1.28,0,0,1,cluster0
119,1.158,0.331,140,1.11,1.67,4.875,0.55,0,195,0,0,0,2.23,3.91,0,0.55,0,2.79,0.55,0,0,0,0,0,0,0.55,0,0,1,cluster0
120,0.054,0.118,96,0,0.75,2.37,0,0.2,588,0.05,0.15,0,0.1,1.55,0.05,0.4,0,0,0.3,0.05,0.05,0.3,0,0.1,0.5,0.3,0,0,1,cluster1
121,0.054,0.118,96,0,0.75,2.379,0,0.2,583,0.05,0.15,0,0.1,1.55,0.05,0.4,0,0,0.3,0.05,0.05,0.3,0,0.1,0.5,0.3,0,0,1,cluster1
122,0.335,1.281,595,0,1.34,7.202,0.23,0.5,2413,0,0.5,0,0.15,3.08,0,0.34,0.3,0.42,0.46,0.19,0.03,0,0.65,0.57,0,0.73,0.125,0,1,cluster0
123,0.271,0.024,149,0.16,0.64,5.709,0.16,0,982,0,0,0,0.32,0.16,0,0.8,0.16,0,0.32,0,0,0.16,0.48,0,0.8,0,0.049,0,1,cluster1
124,0.092,0.322,49,0.3,0.61,2.074,0,0,278,0,0.61,0,0.92,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,cluster1
125,1.194,0.054,101,0.33,3.69,5.567,0,0.33,657,0,0,0,0.33,2.18,0,0.67,0.33,1.68,0,0.84,0.16,1.68,0.5,0.16,0.33,1.51,0,0,1,cluster0
126,0.089,0.178,53,0,3.03,3.416,0,0,164,0,0,0,1.51,4.04,0,0.5,0.5,0,0,0,0,0,0,0,0,1.01,0,0,1,cluster0
127,0.427,0,33,0.59,1.19,10,0,0.59,170,0,0,0,0,4.76,0,0,0,0,0,0,0,0,0,0,0.59,1.19,0,0,1,cluster0
128,0.706,0.212,13,0.4,2,1.838,0,0,114,0,0,0,1.6,4,0,0,0,1.6,0,1.2,0,0,0.4,0,0.4,0.8,0,0,1,cluster0
129,0.97,0.149,335,0,2.48,32.142,0.41,0.41,450,0,0.82,0,0,7.05,0,0.41,0,0,0,0,0.41,0,0,0,0,2.07,0,0,1,cluster0
130,0.598,0.179,78,0.38,1.52,4.523,0.38,0,285,0,0.38,0,0.76,3.04,0,0.38,0,0.76,0,0,0,0,1.14,0,0,0,0,0,1,cluster0
131,0.121,0,12,0.4,2,1.979,0.4,0.4,95,0,0,0,0.4,4,0,0,0.4,0,0,0.4,0.4,0,0,0,0,0,0,0,1,cluster0
132,0.606,0,19,0,1.12,2.36,0.56,0,144,0,0,0,0.56,2.25,0,1.12,0,0,0,0,0,0,0.56,0,0,0,0,0,1,cluster0
133,0.299,0.174,24,0.16,0.47,1.891,0,0,174,0,0.64,0,1.44,1.6,0,0.8,0,0.16,0,0,0.16,0,0,0,0.16,0.64,0,0,1,cluster0
134,0.215,0.431,25,0,0,4,0,0,76,0,2.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,cluster1
135,0.16,0.16,31,0,0.78,2.128,0.98,0,730,0,0.19,0,0.19,0.59,0,0.39,0.39,0.19,0.39,0.19,0,0,0,0,0.39,0.39,0,0,1,cluster1
136,0.16,0.16,31,0,0.78,2.128,0.98,0,730,0,0.19,0,0.19,0.59,0,0.39,0.39,0.19,0.39,0.19,0,0,0,0,0.39,0.39,0,0,1,cluster1
137,0.12,0.541,21,0,0.33,5.428,0.66,0.33,304,0,1.66,0,0.66,2.33,0,0.33,0,0.66,0,0,0.66,0,0,0,0,0.33,0,0,1,cluster0
138,0,0,2,0,1.49,1.1,2.98,0,11,1.49,0,0,1.49,0,1.49,0,0,0,0,0,0,0,0,0,1.49,0,0,0,1,cluster1
139,0,0,11,0,0.82,1.769,0.82,0,69,0,0,0,1.65,1.65,0,0,0,0,0,0,0,0,0,0.82,0,1.65,0,0,1,cluster1
140,0.12,0.541,21,0,0.33,5.428,0.66,0.33,304,0,1.66,0,0.66,2.33,0,0.33,0,0.66,0,0,0.66,0,0,0,0,0.33,0,0,1,cluster0
141,0.558,0.279,23,1.58,0,3.272,0,0,36,0,0,0,0,1.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,cluster1
142,0.335,1.281,595,0,1.34,7.202,0.23,0.5,2413,0,0.5,0,0.15,3.08,0,0.34,0.3,0.42,0.46,0.19,0.03,0,0.65,0.57,0,0.73,0.125,0,1,cluster0
143,0.558,0.279,23,1.58,0,3.272,0,0,36,0,0,0,0,1.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,cluster1
144,0.715,0,2,0,1.38,1.181,2.77,0,13,0,0,0,0,4.16,0,1.38,0,0,0,0,0,0,0,0,4.16,1.38,0,0,1,cluster0
145,0.215,0.431,27,0,0,4.277,0,0,77,0,2.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,cluster1
146,0.12,0.541,21,0,0.33,5.428,0.66,0.33,304,0,1.66,0,0.66,2.33,0,0.33,0,0.66,0,0,0.66,0,0,0,0,0.33,0,0,1,cluster0
147,0.865,0.023,132,0.14,0.43,5.133,0.14,0,1001,0,0,0,0.29,0.58,0,0.72,0.29,0,0.29,0,0,0.14,0.43,0,0.72,0,0.046,0,1,cluster1
148,0.063,0.126,35,0,1.09,2.562,0,0.72,123,0,0,0,0,0.72,0,1.09,0,0,0,0,0,0,0,0,0,0.72,0,0,1,cluster0
149,0.565,0.121,18,0,2.44,1.617,0.81,0.27,131,0,0,0,0.81,2.17,0,0.27,0.27,1.63,0,2.98,0.81,1.35,0.81,0.54,0.27,0.54,0,0,1,cluster0
150,0.261,0,19,0,1.17,1.461,0,1.56,114,0,0,0,0,3.13,0,0.39,0,1.17,0,0,0.39,0,0,0,0.78,0.39,0,0,1,cluster0
